runner_id,runner_name,session_num,date,age,gender,height_cm,weight_kg,bmi,location,altitude_m,latitude,longitude,route_distance_m,avg_pace_s_per_km,total_time_s,improvement_pct
runner-008,Dilshan,2,2026-01-12,34,M,171.8,62.3,21.1,Sigiriya Base,370,7.96,80.76,4000,369.0,1476.0,1.77
runner-008,Dilshan,3,2026-01-19,34,M,171.8,62.3,21.1,Sigiriya Base,370,7.96,80.76,4000,342.4,1369.6,3.54
runner-008,Dilshan,4,2026-01-26,34,M,171.8,62.3,21.1,Sigiriya Base,370,7.96,80.76,4000,356.7,1426.8,5.31
runner-008,Dilshan,5,2026-02-02,34,M,171.8,62.3,21.1,Sigiriya Base,370,7.96,80.76,4000,353.6,1414.4,7.08
runner-008,Dilshan,6,2026-02-09,34,M,171.8,62.3,21.1,Sigiriya Base,370,7.96,80.76,4000,337.3,1349.2,8.85
runner-009,Chamara,1,2026-01-05,28,M,174.2,62.9,20.7,KDU Clubhouse,45,7.0,79.95,4000,365.7,1462.8,0.0
runner-009,Chamara,2,2026-01-12,28,M,174.2,62.9,20.7,KDU Clubhouse,45,7.0,79.95,4000,344.1,1376.4,1.84
runner-009,Chamara,3,2026-01-19,28,M,174.2,62.9,20.7,KDU Clubhouse,45,7.0,79.95,4000,361.5,1446.0,3.68
runner-009,Chamara,4,2026-01-26,28,M,174.2,62.9,20.7,KDU Clubhouse,45,7.0,79.95,4000,327.3,1309.2,5.52
runner-009,Chamara,5,2026-02-02,28,M,174.2,62.9,20.7,KDU Clubhouse,45,7.0,79.95,4000,344.2,1376.8,7.36
runner-009,Chamara,6,2026-02-09,28,M,174.2,62.9,20.7,KDU Clubhouse,45,7.0,79.95,4000,320.1,1280.4,9.2
runner-010,Asanka,1,2026-01-05,61,M,182.0,61.7,18.6,Nuwara Eliya Track,1868,6.97,80.77,1500,462.0,693.0,0.0
runner-010,Asanka,2,2026-01-12,61,M,182.0,61.7,18.6,Nuwara Eliya Track,1868,6.97,80.77,1500,455.2,682.8,1.53
runner-010,Asanka,3,2026-01-19,61,M,182.0,61.7,18.6,Nuwara Eliya Track,1868,6.97,80.77,1500,444.0,666.0,3.06
runner-010,Asanka,4,2026-01-26,61,M,182.0,61.7,18.6,Nuwara Eliya Track,1868,6.97,80.77,1500,421.4,632.1,4.59
runner-010,Asanka,5,2026-02-02,61,M,182.0,61.7,18.6,Nuwara Eliya Track,1868,6.97,80.77,1500,453.2,679.8,6.12
runner-010,Asanka,6,2026-02-09,61,M,182.0,61.7,18.6,Nuwara Eliya Track,1868,6.97,80.77,1500,422.6,633.9,7.65
runner-011,Ruwan,1,2026-01-05,50,M,185.8,62.3,18.0,Kandy Lake,510,7.29,80.64,7000,426.5,2985.5,0.0
runner-011,Ruwan,2,2026-01-12,50,M,185.8,62.3,18.0,Kandy Lake,510,7.29,80.64,7000,420.6,2944.2,2.63
runner-011,Ruwan,3,2026-01-19,50,M,185.8,62.3,18.0,Kandy Lake,510,7.29,80.64,7000,372.9,2610.3,5.26
runner-011,Ruwan,4,2026-01-26,50,M,185.8,62.3,18.0,Kandy Lake,510,7.29,80.64,7000,377.0,2639.0,7.89
runner-011,Ruwan,5,2026-02-02,50,M,185.8,62.3,18.0,Kandy Lake,510,7.29,80.64,7000,370.8,2595.6,10.52
runner-011,Ruwan,6,2026-02-09,50,M,185.8,62.3,18.0,Kandy Lake,510,7.29,80.64,7000,360.2,2521.4,13.15
runner-012,Pradeep,1,2026-01-05,38,M,168.1,75.4,26.7,Nuwara Eliya Track,1868,6.97,80.77,2500,453.1,1132.8,0.0
runner-012,Pradeep,2,2026-01-12,38,M,168.1,75.4,26.7,Nuwara Eliya Track,1868,6.97,80.77,2500,461.7,1154.2,1.34
runner-012,Pradeep,3,2026-01-19,38,M,168.1,75.4,26.7,Nuwara Eliya Track,1868,6.97,80.77,2500,457.2,1143.0,2.68
runner-012,Pradeep,4,2026-01-26,38,M,168.1,75.4,26.7,Nuwara Eliya Track,1868,6.97,80.77,2500,443.3,1108.2,4.02
runner-012,Pradeep,5,2026-02-02,38,M,168.1,75.4,26.7,Nuwara Eliya Track,1868,6.97,80.77,2500,441.4,1103.5,5.36
runner-012,Pradeep,6,2026-02-09,38,M,168.1,75.4,26.7,Nuwara Eliya Track,1868,6.97,80.77,2500,391.6,979.0,6.7
runner-013,Harsha,1,2026-01-05,52,M,172.4,68.7,23.1,Ella Mountain Trail,1041,6.87,81.05,7000,440.5,3083.5,0.0
runner-013,Harsha,2,2026-01-12,52,M,172.4,68.7,23.1,Ella Mountain Trail,1041,6.87,81.05,7000,448.8,3141.6,1.08
runner-013,Harsha,3,2026-01-19,52,M,172.4,68.7,23.1,Ella Mountain Trail,1041,6.87,81.05,7000,473.7,3315.9,2.16
runner-013,Harsha,4,2026-01-26,52,M,172.4,68.7,23.1,Ella Mountain Trail,1041,6.87,81.05,7000,435.7,3049.9,3.24
runner-013,Harsha,5,2026-02-02,52,M,172.4,68.7,23.1,Ella Mountain Trail,1041,6.87,81.05,7000,437.5,3062.5,4.32
runner-013,Harsha,6,2026-02-09,52,M,172.4,68.7,23.1,Ella Mountain Trail,1041,6.87,81.05,7000,413.6,2895.2,5.4
runner-014,Saman,1,2026-01-05,37,M,162.4,85.6,32.5,Nuwara Eliya Track,1868,6.97,80.77,5000,474.5,2372.5,0.0
runner-014,Saman,2,2026-01-12,37,M,162.4,85.6,32.5,Nuwara Eliya Track,1868,6.97,80.77,5000,468.3,2341.5,3.65
runner-014,Saman,3,2026-01-19,37,M,162.4,85.6,32.5,Nuwara Eliya Track,1868,6.97,80.77,5000,450.2,2251.0,7.3
runner-014,Saman,4,2026-01-26,37,M,162.4,85.6,32.5,Nuwara Eliya Track,1868,6.97,80.77,5000,431.2,2156.0,10.95
runner-014,Saman,5,2026-02-02,37,M,162.4,85.6,32.5,Nuwara Eliya Track,1868,6.97,80.77,5000,397.6,1988.0,14.6
runner-014,Saman,6,2026-02-09,37,M,162.4,85.6,32.5,Nuwara Eliya Track,1868,6.97,80.77,5000,389.7,1948.5,18.25
runner-015,Lasith,1,2026-01-05,18,M,182.2,82.3,24.8,Diyatha Uyana,12,6.88,79.9,1500,336.0,504.0,0.0
runner-015,Lasith,2,2026-01-12,18,M,182.2,82.3,24.8,Diyatha Uyana,12,6.88,79.9,1500,317.3,475.9,3.67
runner-015,Lasith,3,2026-01-19,18,M,182.2,82.3,24.8,Diyatha Uyana,12,6.88,79.9,1500,310.0,465.0,7.34
runner-015,Lasith,4,2026-01-26,18,M,182.2,82.3,24.8,Diyatha Uyana,12,6.88,79.9,1500,314.2,471.3,11.01
runner-015,Lasith,5,2026-02-02,18,M,182.2,82.3,24.8,Diyatha Uyana,12,6.88,79.9,1500,285.6,428.4,14.68
runner-015,Lasith,6,2026-02-09,18,M,182.2,82.3,24.8,Diyatha Uyana,12,6.88,79.9,1500,278.2,417.3,18.35
runner-016,Dinesh,1,2026-01-05,54,M,166.7,70.9,25.5,Ella Mountain Trail,1041,6.87,81.05,4000,464.2,1856.8,0.0
runner-016,Dinesh,2,2026-01-12,54,M,166.7,70.9,25.5,Ella Mountain Trail,1041,6.87,81.05,4000,455.7,1822.8,1.17
runner-016,Dinesh,3,2026-01-19,54,M,166.7,70.9,25.5,Ella Mountain Trail,1041,6.87,81.05,4000,431.2,1724.8,2.34
runner-016,Dinesh,4,2026-01-26,54,M,166.7,70.9,25.5,Ella Mountain Trail,1041,6.87,81.05,4000,444.0,1776.0,3.51
runner-016,Dinesh,5,2026-02-02,54,M,166.7,70.9,25.5,Ella Mountain Trail,1041,6.87,81.05,4000,430.1,1720.4,4.68
runner-016,Dinesh,6,2026-02-09,54,M,166.7,70.9,25.5,Ella Mountain Trail,1041,6.87,81.05,4000,409.4,1637.6,5.85
runner-017,Aravinda,1,2026-01-05,59,M,178.6,82.1,25.7,Nuwara Eliya Track,1868,6.97,80.77,1500,487.4,731.1,0.0
runner-017,Aravinda,2,2026-01-12,59,M,178.6,82.1,25.7,Nuwara Eliya Track,1868,6.97,80.77,1500,488.2,732.3,1.37
runner-017,Aravinda,3,2026-01-19,59,M,178.6,82.1,25.7,Nuwara Eliya Track,1868,6.97,80.77,1500,460.8,691.2,2.74
runner-017,Aravinda,4,2026-01-26,59,M,178.6,82.1,25.7,Nuwara Eliya Track,1868,6.97,80.77,1500,467.3,701.0,4.11
runner-017,Aravinda,5,2026-02-02,59,M,178.6,82.1,25.7,Nuwara Eliya Track,1868,6.97,80.77,1500,456.2,684.3,5.48
runner-017,Aravinda,6,2026-02-09,59,M,178.6,82.1,25.7,Nuwara Eliya Track,1868,6.97,80.77,1500,476.7,715.0,6.85
runner-018,Sanath,1,2026-01-05,46,M,177.6,52.9,16.8,KDU Clubhouse,45,7.0,79.95,1000,353.6,353.6,0.0
runner-018,Sanath,2,2026-01-12,46,M,177.6,52.9,16.8,KDU Clubhouse,45,7.0,79.95,1000,345.2,345.2,2.78
runner-018,Sanath,3,2026-01-19,46,M,177.6,52.9,16.8,KDU Clubhouse,45,7.0,79.95,1000,352.6,352.6,5.56
runner-018,Sanath,4,2026-01-26,46,M,177.6,52.9,16.8,KDU Clubhouse,45,7.0,79.95,1000,337.1,337.1,8.34
runner-018,Sanath,5,2026-02-02,46,M,177.6,52.9,16.8,KDU Clubhouse,45,7.0,79.95,1000,317.1,317.1,11.12
runner-018,Sanath,6,2026-02-09,46,M,177.6,52.9,16.8,KDU Clubhouse,45,7.0,79.95,1000,318.4,318.4,13.9
runner-019,Kumara,1,2026-01-05,48,M,173.8,86.8,28.7,Bellanwila Park,15,6.84,79.88,1800,413.2,743.8,0.0
runner-019,Kumara,2,2026-01-12,48,M,173.8,86.8,28.7,Bellanwila Park,15,6.84,79.88,1800,395.6,712.1,1.83
runner-019,Kumara,3,2026-01-19,48,M,173.8,86.8,28.7,Bellanwila Park,15,6.84,79.88,1800,391.8,705.2,3.66
runner-019,Kumara,4,2026-01-26,48,M,173.8,86.8,28.7,Bellanwila Park,15,6.84,79.88,1800,368.7,663.7,5.49
runner-019,Kumara,5,2026-02-02,48,M,173.8,86.8,28.7,Bellanwila Park,15,6.84,79.88,1800,347.6,625.7,7.32
runner-019,Kumara,6,2026-02-09,48,M,173.8,86.8,28.7,Bellanwila Park,15,6.84,79.88,1800,380.9,685.6,9.15
runner-020,Mahela,1,2026-01-05,53,M,167.1,63.2,22.6,Diyatha Uyana,12,6.88,79.9,2500,413.4,1033.5,0.0
runner-020,Mahela,2,2026-01-12,53,M,167.1,63.2,22.6,Diyatha Uyana,12,6.88,79.9,2500,397.2,993.0,1.26
runner-020,Mahela,3,2026-01-19,53,M,167.1,63.2,22.6,Diyatha Uyana,12,6.88,79.9,2500,394.8,987.0,2.52
runner-020,Mahela,4,2026-01-26,53,M,167.1,63.2,22.6,Diyatha Uyana,12,6.88,79.9,2500,384.1,960.2,3.78
runner-020,Mahela,5,2026-02-02,53,M,167.1,63.2,22.6,Diyatha Uyana,12,6.88,79.9,2500,388.2,970.5,5.04
runner-020,Mahela,6,2026-02-09,53,M,167.1,63.2,22.6,Diyatha Uyana,12,6.88,79.9,2500,374.4,936.0,6.3
runner-021,Nimal,1,2026-01-05,51,M,183.2,100.5,29.9,KDU Clubhouse,45,7.0,79.95,1800,436.4,785.5,0.0
runner-021,Nimal,2,2026-01-12,51,M,183.2,100.5,29.9,KDU Clubhouse,45,7.0,79.95,1800,421.5,758.7,0.74
runner-021,Nimal,3,2026-01-19,51,M,183.2,100.5,29.9,KDU Clubhouse,45,7.0,79.95,1800,385.0,693.0,1.48
runner-021,Nimal,4,2026-01-26,51,M,183.2,100.5,29.9,KDU Clubhouse,45,7.0,79.95,1800,421.8,759.2,2.22
runner-021,Nimal,5,2026-02-02,51,M,183.2,100.5,29.9,KDU Clubhouse,45,7.0,79.95,1800,388.1,698.6,2.96
runner-021,Nimal,6,2026-02-09,51,M,183.2,100.5,29.9,KDU Clubhouse,45,7.0,79.95,1800,392.7,706.9,3.7
runner-022,Buddhi,1,2026-01-05,20,M,165.9,66.5,24.2,Sigiriya Base,370,7.96,80.76,10000,398.2,3982.0,0.0
runner-022,Buddhi,2,2026-01-12,20,M,165.9,66.5,24.2,Sigiriya Base,370,7.96,80.76,10000,378.4,3784.0,2.33
runner-022,Buddhi,3,2026-01-19,20,M,165.9,66.5,24.2,Sigiriya Base,370,7.96,80.76,10000,370.7,3707.0,4.66
runner-022,Buddhi,4,2026-01-26,20,M,165.9,66.5,24.2,Sigiriya Base,370,7.96,80.76,10000,354.8,3548.0,6.99
runner-022,Buddhi,5,2026-02-02,20,M,165.9,66.5,24.2,Sigiriya Base,370,7.96,80.76,10000,340.1,3401.0,9.32
runner-022,Buddhi,6,2026-02-09,20,M,165.9,66.5,24.2,Sigiriya Base,370,7.96,80.76,10000,356.1,3561.0,11.65
runner-023,Chamath,1,2026-01-05,37,M,154.3,82.3,34.6,KDU Clubhouse,45,7.0,79.95,1000,441.2,441.2,0.0
runner-023,Chamath,2,2026-01-12,37,M,154.3,82.3,34.6,KDU Clubhouse,45,7.0,79.95,1000,392.4,392.4,2.1
runner-023,Chamath,3,2026-01-19,37,M,154.3,82.3,34.6,KDU Clubhouse,45,7.0,79.95,1000,391.9,391.9,4.2
runner-023,Chamath,4,2026-01-26,37,M,154.3,82.3,34.6,KDU Clubhouse,45,7.0,79.95,1000,379.7,379.7,6.3
runner-023,Chamath,5,2026-02-02,37,M,154.3,82.3,34.6,KDU Clubhouse,45,7.0,79.95,1000,364.9,364.9,8.4
runner-023,Chamath,6,2026-02-09,37,M,154.3,82.3,34.6,KDU Clubhouse,45,7.0,79.95,1000,386.9,386.9,10.5
runner-024,Thisara,1,2026-01-05,22,M,177.6,67.1,21.3,Viharamahadevi Park,8,6.91,79.86,5000,340.8,1704.0,0.0
runner-024,Thisara,2,2026-01-12,22,M,177.6,67.1,21.3,Viharamahadevi Park,8,6.91,79.86,5000,317.9,1589.5,3.42
runner-024,Thisara,3,2026-01-19,22,M,177.6,67.1,21.3,Viharamahadevi Park,8,6.91,79.86,5000,339.3,1696.5,6.84
runner-024,Thisara,4,2026-01-26,22,M,177.6,67.1,21.3,Viharamahadevi Park,8,6.91,79.86,5000,308.7,1543.5,10.26
runner-024,Thisara,5,2026-02-02,22,M,177.6,67.1,21.3,Viharamahadevi Park,8,6.91,79.86,5000,320.4,1602.0,13.68
runner-024,Thisara,6,2026-02-09,22,M,177.6,67.1,21.3,Viharamahadevi Park,8,6.91,79.86,5000,287.6,1438.0,17.1
runner-025,Dimuth,1,2026-01-05,37,M,175.4,72.7,23.6,Viharamahadevi Park,8,6.91,79.86,2500,380.8,952.0,0.0
runner-025,Dimuth,2,2026-01-12,37,M,175.4,72.7,23.6,Viharamahadevi Park,8,6.91,79.86,2500,375.0,937.5,0.9
runner-025,Dimuth,3,2026-01-19,37,M,175.4,72.7,23.6,Viharamahadevi Park,8,6.91,79.86,2500,359.9,899.8,1.8
runner-025,Dimuth,4,2026-01-26,37,M,175.4,72.7,23.6,Viharamahadevi Park,8,6.91,79.86,2500,375.1,937.8,2.7
runner-025,Dimuth,5,2026-02-02,37,M,175.4,72.7,23.6,Viharamahadevi Park,8,6.91,79.86,2500,353.9,884.8,3.6
runner-025,Dimuth,6,2026-02-09,37,M,175.4,72.7,23.6,Viharamahadevi Park,8,6.91,79.86,2500,344.3,860.8,4.5
runner-026,Dhananjaya,1,2026-01-05,58,M,177.7,63.6,20.1,Kandy Lake,510,7.29,80.64,1000,398.5,398.5,0.0
runner-026,Dhananjaya,2,2026-01-12,58,M,177.7,63.6,20.1,Kandy Lake,510,7.29,80.64,1000,408.2,408.2,0.82
runner-026,Dhananjaya,3,2026-01-19,58,M,177.7,63.6,20.1,Kandy Lake,510,7.29,80.64,1000,421.0,421.0,1.64
runner-026,Dhananjaya,4,2026-01-26,58,M,177.7,63.6,20.1,Kandy Lake,510,7.29,80.64,1000,397.5,397.5,2.46
runner-026,Dhananjaya,5,2026-02-02,58,M,177.7,63.6,20.1,Kandy Lake,510,7.29,80.64,1000,387.6,387.6,3.28
runner-026,Dhananjaya,6,2026-02-09,58,M,177.7,63.6,20.1,Kandy Lake,510,7.29,80.64,1000,383.2,383.2,4.1
runner-027,Wanindu,1,2026-01-05,46,M,164.0,71.0,26.4,Bellanwila Park,15,6.84,79.88,1500,409.8,614.7,0.0
runner-027,Wanindu,2,2026-01-12,46,M,164.0,71.0,26.4,Bellanwila Park,15,6.84,79.88,1500,370.2,555.3,0.76
runner-027,Wanindu,3,2026-01-19,46,M,164.0,71.0,26.4,Bellanwila Park,15,6.84,79.88,1500,362.8,544.2,1.52
runner-027,Wanindu,4,2026-01-26,46,M,164.0,71.0,26.4,Bellanwila Park,15,6.84,79.88,1500,375.2,562.8,2.28
runner-027,Wanindu,5,2026-02-02,46,M,164.0,71.0,26.4,Bellanwila Park,15,6.84,79.88,1500,372.8,559.2,3.04
runner-027,Wanindu,6,2026-02-09,46,M,164.0,71.0,26.4,Bellanwila Park,15,6.84,79.88,1500,372.4,558.6,3.8
runner-028,Pathum,1,2026-01-05,26,M,179.4,78.0,24.2,Bellanwila Park,15,6.84,79.88,3000,353.4,1060.2,0.0
runner-028,Pathum,2,2026-01-12,26,M,179.4,78.0,24.2,Bellanwila Park,15,6.84,79.88,3000,354.6,1063.8,1.24
runner-028,Pathum,3,2026-01-19,26,M,179.4,78.0,24.2,Bellanwila Park,15,6.84,79.88,3000,349.3,1047.9,2.48
runner-028,Pathum,4,2026-01-26,26,M,179.4,78.0,24.2,Bellanwila Park,15,6.84,79.88,3000,315.8,947.4,3.72
runner-028,Pathum,5,2026-02-02,26,M,179.4,78.0,24.2,Bellanwila Park,15,6.84,79.88,3000,321.9,965.7,4.96
runner-028,Pathum,6,2026-02-09,26,M,179.4,78.0,24.2,Bellanwila Park,15,6.84,79.88,3000,340.7,1022.1,6.2
runner-029,Charith,1,2026-01-05,27,M,177.3,71.0,22.6,Viharamahadevi Park,8,6.91,79.86,1800,362.7,652.9,0.0
runner-029,Charith,2,2026-01-12,27,M,177.3,71.0,22.6,Viharamahadevi Park,8,6.91,79.86,1800,334.1,601.4,3.58
runner-029,Charith,3,2026-01-19,27,M,177.3,71.0,22.6,Viharamahadevi Park,8,6.91,79.86,1800,305.1,549.2,7.16
runner-029,Charith,4,2026-01-26,27,M,177.3,71.0,22.6,Viharamahadevi Park,8,6.91,79.86,1800,330.6,595.1,10.74
runner-029,Charith,5,2026-02-02,27,M,177.3,71.0,22.6,Viharamahadevi Park,8,6.91,79.86,1800,301.9,543.4,14.32
runner-029,Charith,6,2026-02-09,27,M,177.3,71.0,22.6,Viharamahadevi Park,8,6.91,79.86,1800,259.2,466.6,17.9
runner-030,Bhanuka,1,2026-01-05,33,M,170.5,96.0,33.0,KDU Clubhouse,45,7.0,79.95,4000,408.6,1634.4,0.0
runner-030,Bhanuka,2,2026-01-12,33,M,170.5,96.0,33.0,KDU Clubhouse,45,7.0,79.95,4000,382.3,1529.2,3.55
runner-030,Bhanuka,3,2026-01-19,33,M,170.5,96.0,33.0,KDU Clubhouse,45,7.0,79.95,4000,380.0,1520.0,7.1
runner-030,Bhanuka,4,2026-01-26,33,M,170.5,96.0,33.0,KDU Clubhouse,45,7.0,79.95,4000,348.1,1392.4,10.65
runner-030,Bhanuka,5,2026-02-02,33,M,170.5,96.0,33.0,KDU Clubhouse,45,7.0,79.95,4000,338.7,1354.8,14.2
runner-030,Bhanuka,6,2026-02-09,33,M,170.5,96.0,33.0,KDU Clubhouse,45,7.0,79.95,4000,351.8,1407.2,17.75
runner-031,Vinuja 2,1,2026-01-05,32,M,174.0,92.4,30.5,Horton Plains,2160,6.8,80.8,3000,486.8,1460.4,0.0
runner-031,Vinuja 2,2,2026-01-12,32,M,174.0,92.4,30.5,Horton Plains,2160,6.8,80.8,3000,469.8,1409.4,1.48
runner-031,Vinuja 2,3,2026-01-19,32,M,174.0,92.4,30.5,Horton Plains,2160,6.8,80.8,3000,445.7,1337.1,2.96
runner-031,Vinuja 2,4,2026-01-26,32,M,174.0,92.4,30.5,Horton Plains,2160,6.8,80.8,3000,458.8,1376.4,4.44
runner-031,Vinuja 2,5,2026-02-02,32,M,174.0,92.4,30.5,Horton Plains,2160,6.8,80.8,3000,430.4,1291.2,5.92
runner-031,Vinuja 2,6,2026-02-09,32,M,174.0,92.4,30.5,Horton Plains,2160,6.8,80.8,3000,412.5,1237.5,7.4
runner-032,Tharindu 2,1,2026-01-05,39,M,175.7,72.8,23.6,Kandy Lake,510,7.29,80.64,1800,391.5,704.7,0.0
runner-032,Tharindu 2,2,2026-01-12,39,M,175.7,72.8,23.6,Kandy Lake,510,7.29,80.64,1800,378.0,680.4,2.53
runner-032,Tharindu 2,3,2026-01-19,39,M,175.7,72.8,23.6,Kandy Lake,510,7.29,80.64,1800,359.4,646.9,5.06
runner-032,Tharindu 2,4,2026-01-26,39,M,175.7,72.8,23.6,Kandy Lake,510,7.29,80.64,1800,352.4,634.3,7.59
runner-032,Tharindu 2,5,2026-02-02,39,M,175.7,72.8,23.6,Kandy Lake,510,7.29,80.64,1800,351.8,633.2,10.12
runner-032,Tharindu 2,6,2026-02-09,39,M,175.7,72.8,23.6,Kandy Lake,510,7.29,80.64,1800,326.5,587.7,12.65
runner-033,Supun 2,1,2026-01-05,50,M,184.8,92.1,27.0,Diyatha Uyana,12,6.88,79.9,2500,391.6,979.0,0.0
